Year,Car_Prod,Car_Sales,Truck_Prod,Truck_Sales,Bus_Prod,Bus_Sales,JeepPickup_Prod,JeepPickup_Sales,Tractor_Prod,Tractor_Sales,TwoThreeWheeler_Prod,TwoThreeWheeler_Sales,Auto_Loans_PKR
2006,170487,165965,4518,4273,825,927,21624,21471,48887,48802,520124,516640,97780000000
2007,,,,,,,,,,,,,105440000000
2010,,,,,,,,,,,,,64200000000
2011,133972,127944,2901,2942,490,515,20025,18553,70770,69203,838665,835455,
2015,,,,,,,,,,,,,85120000000
2016,179944,181145,5666,5550,1070,1017,36609,36534,34914,33986,1362096,1358643,111960000000
2017,188936,185781,7712,7499,1118,1130,27795,27338,53975,54992,1632965,1630735,154250000000
2018,217774,216786,9326,9331,803,762,42778,42006,71894,70887,1928757,1931340,193600000000
2019,209255,207630,6035,5828,913,935,31978,33016,49902,50405,1782605,1781959,215460000000
2020,94325,96455,2945,3088,532,559,15633,15507,32608,32727,1370417,1370005,211110000000
2021,151794,151182,3808,3695,570,652,31073,30215,50751,50920,1902415,1903932,308100000000
2022,226433,234180,5659,5802,661,696,44421,45087,58880,58947,1826467,1821885,367850000000
2023,101984,96811,3074,3182,701,654,31333,30067,31726,30942,1185532,1186969,293728000000
2024,79573,81577,2204,2187,419,454,21084,22250,45529,45484,1150090,1150112,230501000000